Title,Published_date,Views,Likes,Dislikes,Comments,Duration (Minutes)
Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07T10:30:10Z,69004,1139,0,103,51.23
How to use a Public API | Using a Public API with Python,2022-05-31T10:30:01Z,45220,1437,0,72,14.02
How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24T10:30:06Z,533262,9089,0,269,12.83
MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17T10:30:06Z,139928,2942,0,276,16.08
Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10T10:30:05Z,33380,1680,0,158,6.67
SQL vs NoSQL | What's the Difference?,2022-05-03T10:30:03Z,60637,1824,0,67,5.92
Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26T10:30:00Z,791748,20831,0,314,5.37
How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20T10:30:09Z,11856,322,0,161,43.5
200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14T13:29:42Z,3175,133,0,11,81.53
Things I HATE About Being a Data Analyst,2022-04-12T10:30:00Z,36178,1505,0,202,10.57
Best Website to Practice Technical Interview Questions,2022-04-05T10:30:07Z,19441,670,0,56,21.75
Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29T10:30:17Z,7098,276,0,161,48.83
Full Project in Excel | Excel Tutorials for Beginners,2022-03-22T10:30:15Z,820548,17567,0,1035,40.83
Top 5 Non-Technical Skills for Data Analysts,2022-03-15T10:30:18Z,21813,818,0,72,16.5
Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01T11:30:14Z,549387,11463,0,312,21.07
Tableau Data Analyst Certification Review,2022-02-22T11:30:01Z,66172,1610,0,124,12.82
Job Title Alternatives for Data Analysts,2022-02-15T11:30:07Z,26295,1017,0,95,12.2
Best Coursera Courses for Data Analysts in 2022,2022-02-08T11:30:01Z,119419,5749,0,222,9.53
Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01T11:30:10Z,21020,720,0,61,7.5
Charts in Excel | Excel Tutorials for Beginners,2022-01-25T11:30:18Z,135906,3426,0,72,15.18
How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18T11:30:02Z,23140,856,0,359,49.07
Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11T11:30:08Z,186729,4031,0,107,20.98
150k Subscriber Livestream!!,2022-01-10T14:59:31Z,3492,159,0,7,85.63
How To Become A Data Analyst In 2022,2022-01-04T11:30:11Z,497708,22042,0,638,13.0
XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28T11:30:06Z,223868,4842,0,184,18.78
Formulas in Excel | Excel Tutorials for Beginners,2021-12-21T11:30:07Z,364698,8002,0,412,33.9
Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14T11:30:07Z,722806,14819,0,390,17.58
Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07T11:30:11Z,288161,5697,0,423,44.3
How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23T11:30:02Z,134556,3679,0,64,14.48
Top 5 Major Red Flags in Job Descriptions,2021-11-18T11:30:08Z,18332,961,0,71,7.02
Truth About My Job (Song) - As a Data Analyst,2021-11-08T11:30:01Z,10861,892,0,106,3.3
How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26T10:00:23Z,11234,341,0,34,20.33
Choosing a Domain to Make More Money,2021-10-19T10:00:16Z,19922,962,0,77,8.68
How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05T11:30:14Z,175250,3967,0,189,14.08
How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28T11:30:07Z,225625,4845,0,90,6.42
How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21T11:30:01Z,711439,16381,0,395,17.07
How NOT to Become a Data Analyst (Funny?),2021-09-07T11:30:01Z,17363,711,0,114,4.85
100k Subscriber Play Button Unboxing,2021-08-31T11:30:04Z,2663,241,0,96,6.6
Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24T11:30:01Z,276761,6252,0,646,47.23
Interviewing with PwC for a Senior Data Analyst Position,2021-08-17T11:30:01Z,95245,2548,0,158,23.15
100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13T14:38:59Z,4744,191,0,26,62.13
I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11T11:30:05Z,143201,4409,0,488,15.98
When To Start Applying To Your First Data Analyst Job,2021-07-21T11:30:04Z,85698,4539,0,240,4.18
Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13T11:30:00Z,130708,5637,0,363,3.52
How to Create a Portfolio Website for FREE,2021-06-29T11:30:13Z,612341,13919,0,768,35.48
Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22T11:30:05Z,176097,3082,0,496,60.75
How To Get a Data Analyst Job (with No Experience),2021-06-08T11:30:12Z,470292,20364,0,605,7.62
My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03T11:30:01Z,6350,241,0,108,26.42
Favorite Tableau and Power BI Courses on Udemy,2021-06-01T11:30:03Z,32495,863,0,86,10.38
Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25T11:30:01Z,420821,8020,0,870,54.73
Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18T11:30:04Z,377186,5981,0,452,52.28
Asking My Family What I Do For a Living,2021-05-11T11:00:08Z,3744,194,0,55,12.62
Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04T11:00:31Z,1966041,34302,0,4164,77.15
Advanced SQL Tutorial | Subqueries,2021-04-20T11:00:32Z,382350,8425,0,222,8.62
Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15T11:00:06Z,22268,823,0,149,19.08
Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13T11:00:04Z,336659,11757,0,611,5.97
Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06T11:00:12Z,27085,941,0,85,12.47
Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30T11:00:18Z,187407,4083,0,312,15.5
